Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019]
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Afghanistan,AFG,0.626149149168802,2.30237251516839
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Albania,ALB,2.02805963071135,1.41109078954247
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Algeria,DZA,4.26999020467083,1.95176821052892
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Angola,AGO,19.6289379701521,17.080954143438
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Antigua and Barbuda,ATG,1.20715793367006,1.43135598182988
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Argentina,ARG,34.2772237131003,53.5483043492339
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Armenia,ARM,2.52023382001632,1.44344660770699
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Aruba,ABW,3.62604141352957,4.25746204335427
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Australia,AUS,1.91140094445694,1.6107678729038
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Austria,AUT,1.99837981429547,1.53089564152644
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Azerbaijan,AZE,2.26854690373999,2.61057182799215
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Bahrain,BHR,2.08766938046983,1.00582004702132
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Bangladesh,BGD,5.54362139486472,5.59199639930633
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Barbados,BRB,3.67381410406796,4.10028964518462
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Belarus,BLR,4.8723022055069,5.59815595039853
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Belgium,BEL,2.05316499865184,1.4368195699643
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Belize,BLZ,0.269982622646363,0.187069385181459
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Benin,BEN,0.919170717886098,0.732849371241047
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Bhutan,BTN,2.72396386183714,2.72643037388829
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Bolivia,BOL,2.27205987230154,1.83954504969027
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Bosnia and Herzegovina,BIH,1.41710814018034,0.562782154061217
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Botswana,BWA,3.23801558947711,2.77286442863323
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Brazil,BRA,3.66485028376727,3.73297621216898
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Brunei Darussalam,BRN,1.02505179290213,-0.390522069165538
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Bulgaria,BGR,2.8145447382483,3.10372944796774
Inflation, consumer prices (annual %),FP.CPI.TOTL.ZG,Burkina Faso,BFA,1.95594302672532,-3.23338933983324
